ID,Marital Status,Gender, Income ,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,Purchased Bike
29355,married,female,40000.0,0,Bachelors,Clerical,1,0,0-1 Miles,Europe,37,1
25303,single,male,30000.0,0,High School,Manual,1,1,2-5 Miles,Europe,33,1
14813,single,female,20000.0,4,High School,Manual,1,1,0-1 Miles,Europe,43,1
16438,married,female,10000.0,0,Partial High School,Manual,0,2,0-1 Miles,Europe,30,0
14238,married,male,120000.0,0,Partial High School,Professional,1,4,10+ Miles,Pacific,36,1
16200,single,female,10000.0,0,Partial High School,Manual,0,2,0-1 Miles,Europe,35,0
24857,married,female,130000.0,3,High School,Professional,1,4,0-1 Miles,Europe,52,0
26956,single,female,20000.0,0,Partial College,Manual,0,1,2-5 Miles,Europe,36,1
14517,married,female,20000.0,3,High School,Skilled Manual,0,2,1-2 Miles,Pacific,62,0
12678,single,female,130000.0,4,High School,Management,1,4,0-1 Miles,Pacific,31,0
16188,single,female,20000.0,0,Partial High School,Manual,0,2,1-2 Miles,Europe,26,0
27969,married,male,80000.0,0,Bachelors,Professional,1,2,10+ Miles,Pacific,29,1
15752,married,male,80000.0,2,High School,Skilled Manual,0,2,1-2 Miles,Pacific,50,1
27745,single,male,40000.0,2,Bachelors,Management,1,2,5-10 Miles,Pacific,63,1
20828,married,female,30000.0,4,Graduate Degree,Clerical,1,0,0-1 Miles,Europe,45,1
19461,single,female,10000.0,4,Partial High School,Manual,1,2,0-1 Miles,Europe,40,0
26941,married,male,30000.0,0,Bachelors,Clerical,1,0,0-1 Miles,Europe,47,1
28412,single,male,20000.0,0,High School,Manual,0,1,2-5 Miles,Europe,29,0
24485,single,male,40000.0,2,Bachelors,Management,0,1,5-10 Miles,Pacific,52,1
16514,single,male,10000.0,0,Bachelors,Manual,1,1,1-2 Miles,Pacific,26,1
17191,single,male,130000.0,3,Partial College,Professional,0,3,0-1 Miles,Europe,51,1
19608,married,male,80000.0,5,Bachelors,Professional,1,4,1-2 Miles,Pacific,40,0
24119,single,male,30000.0,0,Partial College,Clerical,0,1,2-5 Miles,Europe,29,0
25458,married,male,20000.0,1,High School,Manual,0,1,1-2 Miles,Europe,40,1
26886,single,female,30000.0,0,Partial College,Clerical,0,1,0-1 Miles,Europe,29,1
28436,single,male,30000.0,0,Partial College,Clerical,0,1,0-1 Miles,Europe,30,1
19562,single,female,60000.0,2,Bachelors,Professional,1,1,2-5 Miles,Pacific,37,1
15608,single,female,30000.0,0,Partial College,Clerical,0,1,2-5 Miles,Europe,33,0
16487,single,female,30000.0,3,High School,Skilled Manual,1,2,5-10 Miles,Pacific,55,0
17197,single,female,90000.0,5,Bachelors,Professional,1,2,10+ Miles,Europe,62,0
12507,married,male,30000.0,1,Partial College,Clerical,1,1,0-1 Miles,Europe,43,0
23940,married,male,40000.0,1,Bachelors,Skilled Manual,1,1,0-1 Miles,Europe,44,1
19441,married,male,40000.0,0,Graduate Degree,Clerical,1,0,0-1 Miles,Europe,25,1
26852,married,female,20000.0,3,High School,Manual,1,2,0-1 Miles,Europe,43,0
12274,single,male,10000.0,2,High School,Manual,1,0,0-1 Miles,Europe,35,0
20236,single,male,60000.0,3,Bachelors,Professional,0,2,0-1 Miles,Pacific,43,1
24149,married,male,10000.0,2,Partial College,Manual,1,0,1-2 Miles,Europe,49,0
26139,single,male,60000.0,1,Partial College,Skilled Manual,1,1,5-10 Miles,Pacific,45,0
18491,single,female,70000.0,2,High School,Professional,1,2,5-10 Miles,Pacific,49,1
22707,single,female,30000.0,0,Partial College,Clerical,0,1,2-5 Miles,Europe,30,0
20430,married,male,70000.0,2,Partial College,Skilled Manual,1,2,5-10 Miles,Pacific,52,1
27494,single,female,40000.0,2,Partial College,Skilled Manual,0,2,1-2 Miles,Pacific,53,1
26829,married,female,40000.0,0,Bachelors,Clerical,1,0,0-1 Miles,Europe,38,1
28395,single,male,40000.0,0,Bachelors,Professional,0,0,0-1 Miles,Europe,39,1
21006,single,female,30000.0,1,Partial College,Manual,0,0,0-1 Miles,Europe,46,1
14682,single,female,70000.0,0,Bachelors,Professional,0,1,5-10 Miles,Pacific,38,0
17650,single,female,40000.0,2,Partial College,Clerical,1,2,1-2 Miles,Europe,35,0
29191,single,female,130000.0,1,Bachelors,Management,0,1,0-1 Miles,Pacific,36,1
15030,married,male,20000.0,0,Bachelors,Clerical,1,0,0-1 Miles,Pacific,26,1
24140,single,male,10000.0,0,Graduate Degree,Manual,0,0,0-1 Miles,Europe,30,1
22496,married,female,30000.0,1,Bachelors,Skilled Manual,1,2,0-1 Miles,Europe,42,0
24065,single,female,20000.0,0,High School,Manual,1,0,0-1 Miles,Europe,40,1
19914,married,male,80000.0,5,Bachelors,Management,1,2,2-5 Miles,Europe,62,0
12871,single,female,30000.0,0,Partial College,Clerical,0,1,2-5 Miles,Europe,29,0
22988,married,female,40000.0,2,Bachelors,Management,1,2,5-10 Miles,Pacific,66,1
15922,married,male,150000.0,2,High School,Professional,1,4,0-1 Miles,Europe,48,0
12344,single,female,80000.0,0,Bachelors,Professional,0,3,10+ Miles,Pacific,31,0
23627,single,female,100000.0,3,Partial College,Management,0,4,5-10 Miles,Europe,56,0
27775,single,female,40000.0,0,Bachelors,Clerical,0,0,0-1 Miles,Europe,38,1
29301,married,male,80000.0,5,Bachelors,Professional,1,4,1-2 Miles,Pacific,40,0
12716,single,male,30000.0,0,Partial College,Clerical,1,1,2-5 Miles,Europe,32,0
12472,married,male,30000.0,1,Bachelors,Clerical,1,1,2-5 Miles,Europe,39,0
20970,single,male,10000.0,2,Partial College,Manual,1,1,0-1 Miles,Europe,52,1
26818,single,male,10000.0,3,High School,Manual,1,1,0-1 Miles,Europe,39,1
12993,married,male,60000.0,2,Bachelors,Professional,1,1,2-5 Miles,Pacific,37,0
14192,married,male,90000.0,4,High School,Management,1,3,5-10 Miles,Europe,56,1
19477,married,male,40000.0,0,Bachelors,Professional,1,0,0-1 Miles,Europe,40,1
26796,single,male,40000.0,2,Bachelors,Management,1,2,5-10 Miles,Pacific,65,1
21094,single,female,30000.0,2,Bachelors,Clerical,1,2,0-1 Miles,Europe,42,0
12234,married,male,10000.0,2,Partial College,Manual,1,1,2-5 Miles,Europe,52,0
28683,single,female,10000.0,1,High School,Manual,0,1,5-10 Miles,Europe,35,1
17994,single,male,20000.0,2,High School,Manual,1,2,0-1 Miles,Europe,42,0
24273,married,female,20000.0,2,Partial High School,Clerical,1,2,5-10 Miles,Pacific,55,1
26547,single,female,60000.0,2,Partial College,Clerical,0,2,5-10 Miles,Pacific,60,1
22500,single,male,40000.0,0,Bachelors,Professional,0,0,0-1 Miles,Europe,40,1
23993,single,female,10000.0,0,Partial College,Manual,0,1,0-1 Miles,Pacific,26,1
14832,married,male,40000.0,1,Bachelors,Skilled Manual,1,0,0-1 Miles,Europe,42,1
16614,married,female,80000.0,0,Bachelors,Professional,1,3,10+ Miles,Pacific,32,0
20877,single,male,30000.0,1,Bachelors,Clerical,1,0,1-2 Miles,Europe,37,1
20729,married,female,40000.0,2,Partial College,Clerical,0,1,0-1 Miles,Europe,34,0
22464,married,male,40000.0,0,Graduate Degree,Clerical,1,0,0-1 Miles,Europe,37,1
19475,married,female,40000.0,0,Bachelors,Professional,0,0,0-1 Miles,Europe,40,1
19675,married,male,20000.0,4,High School,Skilled Manual,1,2,5-10 Miles,Pacific,60,0
12728,single,male,30000.0,0,Partial College,Clerical,0,1,1-2 Miles,Europe,27,0
26154,married,male,60000.0,1,Partial College,Skilled Manual,1,1,5-10 Miles,Pacific,43,1
29117,single,male,100000.0,1,Bachelors,Management,0,3,0-1 Miles,Pacific,48,0
17845,single,female,20000.0,0,Partial High School,Manual,0,2,1-2 Miles,Europe,32,0
25058,married,male,100000.0,1,Bachelors,Management,1,3,2-5 Miles,Pacific,47,0
23426,single,male,80000.0,5,Graduate Degree,Management,1,3,0-1 Miles,Pacific,40,0
14798,single,female,10000.0,4,Partial High School,Manual,1,2,0-1 Miles,Europe,41,1
12664,married,female,130000.0,5,Partial College,Professional,1,4,0-1 Miles,Europe,59,0
23979,single,male,10000.0,2,Bachelors,Manual,0,0,0-1 Miles,Europe,50,0
25605,single,female,20000.0,2,Partial College,Manual,0,1,0-1 Miles,Europe,54,1
20797,married,female,10000.0,1,Bachelors,Manual,1,0,0-1 Miles,Europe,48,0
21980,single,female,60000.0,1,Bachelors,Professional,1,1,5-10 Miles,Pacific,44,1
25460,married,female,20000.0,2,High School,Manual,1,0,0-1 Miles,Europe,40,1
29181,single,female,60000.0,2,Bachelors,Professional,0,1,0-1 Miles,Pacific,38,1
24279,single,male,40000.0,2,Partial College,Skilled Manual,0,2,1-2 Miles,Pacific,52,0
22402,married,male,10000.0,0,Partial College,Manual,1,1,2-5 Miles,Pacific,25,1
15465,married,female,10000.0,0,Partial College,Manual,0,1,0-1 Miles,Pacific,25,0
26757,single,male,90000.0,1,Bachelors,Professional,1,1,2-5 Miles,Pacific,47,1
14233,single,male,100000.0,0,High School,Management,1,3,10+ Miles,Pacific,35,0
14058,single,male,70000.0,0,Bachelors,Professional,0,1,5-10 Miles,Pacific,41,1
12273,married,male,30000.0,1,Bachelors,Clerical,1,0,0-1 Miles,Europe,47,0
17203,married,female,130000.0,4,Partial College,Professional,1,4,5-10 Miles,Europe,61,1
18144,married,female,80000.0,5,Bachelors,Management,1,2,2-5 Miles,Europe,61,0
23963,married,male,10000.0,0,Partial High School,Manual,0,2,0-1 Miles,Europe,33,0
17907,married,female,10000.0,0,Partial College,Manual,1,1,2-5 Miles,Pacific,27,0
19442,single,male,50000.0,0,Graduate Degree,Skilled Manual,1,0,0-1 Miles,Europe,37,1
17504,single,female,80000.0,2,Partial College,Skilled Manual,1,2,5-10 Miles,Pacific,52,1
12253,single,female,20000.0,0,Partial College,Manual,1,0,0-1 Miles,Pacific,29,1
27304,single,female,110000.0,2,Partial College,Professional,0,3,5-10 Miles,Europe,48,0
14191,married,male,160000.0,4,Partial College,Professional,0,2,10+ Miles,Europe,55,1
12212,married,female,10000.0,0,Graduate Degree,Manual,1,0,0-1 Miles,Europe,37,1
25529,single,male,10000.0,1,Graduate Degree,Manual,1,0,0-1 Miles,Europe,44,0
22170,married,female,30000.0,3,Partial College,Clerical,0,2,1-2 Miles,Pacific,55,1
19445,married,female,10000.0,2,High School,Manual,0,1,0-1 Miles,Europe,38,0
15265,single,male,40000.0,2,Bachelors,Management,1,2,5-10 Miles,Pacific,66,1
28918,married,female,130000.0,4,High School,Management,0,4,10+ Miles,Europe,58,0
15799,married,female,90000.0,1,Bachelors,Professional,1,1,2-5 Miles,Pacific,47,1
11047,married,female,30000.0,3,High School,Skilled Manual,0,2,1-2 Miles,Pacific,56,1
18151,single,male,80000.0,5,Partial College,Professional,0,2,10+ Miles,Europe,59,0
20606,married,female,70000.0,0,Bachelors,Professional,1,4,10+ Miles,Pacific,32,1
19482,married,male,30000.0,1,Partial College,Clerical,1,1,0-1 Miles,Europe,44,1
16489,married,male,30000.0,3,High School,Skilled Manual,1,2,5-10 Miles,Pacific,55,0
26944,single,male,90000.0,2,High School,Manual,1,0,0-1 Miles,Europe,36,1
15682,single,female,80000.0,5,Bachelors,Management,1,2,10+ Miles,Europe,62,0
26032,married,female,70000.0,5,Bachelors,Professional,1,4,10+ Miles,Pacific,41,0
17843,single,female,10000.0,0,Partial High School,Manual,0,2,0-1 Miles,Europe,32,0
25559,single,male,20000.0,0,Bachelors,Clerical,1,0,0-1 Miles,Pacific,25,1
16209,single,female,50000.0,0,Graduate Degree,Skilled Manual,1,0,1-2 Miles,Europe,36,0
11147,married,male,60000.0,2,Graduate Degree,Management,1,1,0-1 Miles,Pacific,67,1
15214,single,female,100000.0,0,Graduate Degree,Management,0,1,1-2 Miles,Pacific,39,1
11453,single,male,80000.0,0,Bachelors,Professional,0,3,10+ Miles,Pacific,33,1
24584,single,male,60000.0,0,Bachelors,Professional,0,3,2-5 Miles,Pacific,31,0
12585,married,male,10000.0,1,High School,Manual,1,0,2-5 Miles,Pacific,27,1
18626,single,male,40000.0,2,Partial College,Clerical,1,0,1-2 Miles,Europe,33,1
29298,single,female,60000.0,1,Partial College,Skilled Manual,1,1,5-10 Miles,Pacific,46,1
24842,single,female,90000.0,3,High School,Professional,0,1,2-5 Miles,Europe,51,0
15657,married,male,30000.0,3,Graduate Degree,Clerical,1,0,0-1 Miles,Europe,46,1
11415,single,male,90000.0,5,Partial College,Professional,0,2,10+ Miles,Europe,62,0
28729,single,female,20000.0,0,Partial High School,Manual,1,2,1-2 Miles,Europe,26,1
22633,single,female,40000.0,0,Graduate Degree,Clerical,1,0,0-1 Miles,Europe,37,1
25649,single,female,30000.0,3,Partial College,Clerical,1,0,0-1 Miles,Europe,42,1
14669,married,female,80000.0,4,Graduate Degree,Management,1,1,0-1 Miles,Pacific,36,0
19299,married,female,50000.0,0,Graduate Degree,Skilled Manual,1,0,0-1 Miles,Europe,36,1
20946,single,female,30000.0,0,Partial College,Clerical,0,1,2-5 Miles,Europe,30,0
11451,single,male,70000.0,0,Bachelors,Professional,0,4,10+ Miles,Pacific,31,1
25553,married,male,30000.0,1,Bachelors,Clerical,1,0,0-1 Miles,Europe,65,1
27951,single,male,80000.0,4,Partial College,Professional,0,2,2-5 Miles,Europe,54,1
25026,married,male,20000.0,2,Partial High School,Clerical,1,3,5-10 Miles,Pacific,54,0
13673,single,female,20000.0,0,Partial High School,Manual,0,2,0-1 Miles,Europe,25,0
16043,single,male,10000.0,1,Bachelors,Manual,1,0,0-1 Miles,Europe,48,0
22399,single,male,10000.0,0,Partial College,Manual,1,1,1-2 Miles,Pacific,26,1
27696,married,male,60000.0,1,Bachelors,Professional,1,1,5-10 Miles,Pacific,43,1
25313,single,male,10000.0,0,Partial High School,Manual,0,2,1-2 Miles,Europe,35,0
13813,married,female,30000.0,3,Partial College,Clerical,0,0,0-1 Miles,Europe,42,0
18711,single,female,70000.0,5,Bachelors,Professional,1,4,10+ Miles,Pacific,39,0
19650,married,female,30000.0,2,Partial College,Clerical,0,2,0-1 Miles,Pacific,67,0
14135,married,male,20000.0,1,Partial College,Manual,1,0,1-2 Miles,Europe,35,0
12833,single,female,20000.0,3,High School,Manual,1,1,0-1 Miles,Europe,42,1
26849,married,male,10000.0,3,Partial High School,Manual,1,2,0-1 Miles,Europe,43,0
20962,married,female,20000.0,1,Graduate Degree,Clerical,1,0,0-1 Miles,Europe,45,0
28915,single,male,80000.0,5,High School,Management,1,3,10+ Miles,Europe,57,0
22830,married,male,120000.0,4,Partial College,Management,1,3,10+ Miles,Europe,56,0
14777,married,female,40000.0,0,Bachelors,Clerical,1,0,0-1 Miles,Europe,38,1
12591,married,female,30000.0,4,Graduate Degree,Clerical,1,0,0-1 Miles,Europe,45,0
24174,married,male,20000.0,0,Bachelors,Clerical,1,0,0-1 Miles,Pacific,27,1
24611,single,male,90000.0,0,Bachelors,Professional,0,4,10+ Miles,Pacific,35,1
11340,married,female,10000.0,1,Graduate Degree,Clerical,1,0,0-1 Miles,Europe,70,1
25693,single,female,30000.0,5,Graduate Degree,Clerical,1,0,0-1 Miles,Europe,44,1
25555,married,female,10000.0,0,Partial College,Manual,0,1,0-1 Miles,Pacific,26,1
22006,married,male,70000.0,5,Partial College,Skilled Manual,1,3,5-10 Miles,Pacific,46,0
20060,single,female,30000.0,0,High School,Manual,0,1,2-5 Miles,Europe,34,1
17702,married,male,10000.0,1,Graduate Degree,Manual,1,0,0-1 Miles,Europe,37,0
12503,single,female,30000.0,3,Partial College,Clerical,1,2,0-1 Miles,Europe,27,0
23908,single,male,30000.0,1,Bachelors,Clerical,0,1,0-1 Miles,Europe,39,1
22527,single,female,20000.0,0,High School,Manual,0,1,2-5 Miles,Europe,29,0
19057,married,female,120000.0,3,Bachelors,Management,0,2,10+ Miles,Europe,52,1
18494,married,male,110000.0,5,Bachelors,Management,1,4,2-5 Miles,Pacific,48,1
11249,married,female,130000.0,3,Partial College,Professional,1,3,0-1 Miles,Europe,51,1
21568,married,female,100000.0,0,High School,Management,1,4,10+ Miles,Pacific,34,1
13981,married,female,10000.0,5,High School,Skilled Manual,0,3,1-2 Miles,Pacific,62,0
23432,single,male,70000.0,0,Bachelors,Professional,1,1,5-10 Miles,Pacific,37,1
22931,married,male,100000.0,5,Graduate Degree,Management,0,1,1-2 Miles,Pacific,78,1
18172,married,male,130000.0,4,High School,Professional,1,3,0-1 Miles,Europe,55,0
12666,single,male,60000.0,0,Bachelors,Professional,0,4,2-5 Miles,Pacific,31,0
20598,married,male,100000.0,3,Partial High School,Professional,1,0,10+ Miles,Europe,59,1
21375,single,male,20000.0,2,Partial High School,Clerical,1,2,5-10 Miles,Pacific,57,0
20839,single,female,30000.0,3,Graduate Degree,Clerical,1,0,0-1 Miles,Europe,47,1
21738,married,male,20000.0,1,Graduate Degree,Clerical,1,0,0-1 Miles,Europe,43,0
14164,single,female,50000.0,0,Graduate Degree,Skilled Manual,1,0,0-1 Miles,Europe,36,1
14193,single,female,100000.0,3,Partial College,Management,1,4,10+ Miles,Europe,56,0
12705,married,male,150000.0,0,Bachelors,Management,1,4,0-1 Miles,Pacific,37,1
22672,single,female,30000.0,2,Partial College,Clerical,1,0,0-1 Miles,Europe,43,0
26219,married,female,40000.0,1,Bachelors,Skilled Manual,1,1,1-2 Miles,Europe,33,1
28468,married,female,10000.0,2,Partial College,Manual,1,0,1-2 Miles,Europe,51,0
23419,single,female,70000.0,5,Bachelors,Professional,1,3,10+ Miles,Pacific,39,0
17964,married,male,40000.0,0,Graduate Degree,Clerical,1,0,0-1 Miles,Europe,37,1
20919,single,female,30000.0,2,Partial College,Clerical,1,2,0-1 Miles,Europe,42,0
20927,single,female,20000.0,5,High School,Manual,1,2,0-1 Miles,Europe,27,0
13133,single,male,100000.0,5,Bachelors,Professional,1,1,5-10 Miles,Pacific,47,1
19626,married,male,70000.0,5,Partial College,Skilled Manual,1,3,5-10 Miles,Pacific,45,0
21039,single,female,50000.0,0,Graduate Degree,Skilled Manual,0,0,0-1 Miles,Europe,37,1
12231,single,female,10000.0,2,Partial College,Manual,1,0,0-1 Miles,Europe,51,1
25665,single,female,20000.0,0,High School,Manual,0,1,1-2 Miles,Europe,28,0
24061,married,male,10000.0,4,Partial High School,Manual,1,1,0-1 Miles,Europe,40,1
26879,single,female,20000.0,0,High School,Manual,0,1,2-5 Miles,Europe,30,0
12284,married,female,30000.0,0,Bachelors,Clerical,0,0,0-1 Miles,Europe,36,1
26654,married,female,90000.0,1,Graduate Degree,Management,1,0,0-1 Miles,Pacific,37,1
14545,married,female,10000.0,2,Partial College,Manual,1,0,1-2 Miles,Europe,49,0
24201,married,female,10000.0,2,High School,Manual,1,0,0-1 Miles,Europe,37,1
20625,married,male,100000.0,0,High School,Management,1,3,10+ Miles,Pacific,35,1
16390,single,male,30000.0,1,Bachelors,Clerical,0,0,0-1 Miles,Europe,38,1
14804,single,female,10000.0,3,Partial High School,Manual,1,2,0-1 Miles,Europe,43,0
12629,single,male,20000.0,1,Partial College,Manual,0,0,0-1 Miles,Europe,37,0
14696,single,male,10000.0,0,Partial High School,Manual,0,2,0-1 Miles,Europe,34,0
22005,married,female,70000.0,5,Partial College,Skilled Manual,0,3,5-10 Miles,Pacific,46,0
14544,single,male,10000.0,1,Partial College,Manual,1,0,0-1 Miles,Europe,49,0
14312,married,female,60000.0,1,Partial College,Skilled Manual,1,1,5-10 Miles,Pacific,45,0
29120,single,female,100000.0,1,Bachelors,Management,1,4,2-5 Miles,Pacific,48,0
24187,single,female,30000.0,3,Graduate Degree,Clerical,0,0,0-1 Miles,Europe,46,1
15758,married,male,130000.0,0,Graduate Degree,Management,1,0,5-10 Miles,Pacific,48,0
29094,married,male,30000.0,3,High School,Skilled Manual,1,2,5-10 Miles,Pacific,54,1
28319,single,female,60000.0,1,Partial College,Skilled Manual,0,1,0-1 Miles,Pacific,46,1
16406,married,male,40000.0,0,Bachelors,Clerical,0,0,0-1 Miles,Europe,38,1
20923,married,female,40000.0,1,Bachelors,Skilled Manual,1,0,0-1 Miles,Europe,42,1
11378,single,female,10000.0,1,High School,Manual,0,1,2-5 Miles,Europe,46,1
20851,single,male,20000.0,0,Partial College,Manual,0,1,2-5 Miles,Europe,36,1
21557,single,female,110000.0,0,Partial College,Management,1,3,10+ Miles,Pacific,32,1
26663,single,female,60000.0,2,Bachelors,Professional,0,1,0-1 Miles,Pacific,39,1
11896,married,male,100000.0,1,Graduate Degree,Management,1,0,2-5 Miles,Pacific,36,1
14189,married,female,90000.0,4,High School,Professional,0,2,2-5 Miles,Europe,54,1
13136,married,female,30000.0,2,Partial College,Clerical,0,2,5-10 Miles,Pacific,69,0
25906,single,female,10000.0,5,High School,Skilled Manual,0,2,1-2 Miles,Pacific,62,0
17926,single,female,40000.0,0,Bachelors,Clerical,0,0,0-1 Miles,Pacific,28,1
26928,single,male,30000.0,1,Bachelors,Clerical,1,0,0-1 Miles,Europe,62,1
20897,married,female,30000.0,1,Bachelors,Skilled Manual,1,2,0-1 Miles,Europe,40,0
28207,married,male,80000.0,4,Graduate Degree,Management,1,1,0-1 Miles,Pacific,36,1
25923,single,male,10000.0,2,Partial High School,Clerical,1,2,5-10 Miles,Pacific,58,0
11000,married,male,90000.0,2,Bachelors,Professional,1,0,1-2 Miles,Pacific,40,1
20974,married,male,10000.0,2,Bachelors,Clerical,1,1,0-1 Miles,Europe,66,0
28758,married,male,40000.0,2,Partial College,Clerical,1,1,1-2 Miles,Europe,35,1
11381,married,female,20000.0,2,Partial College,Manual,1,1,2-5 Miles,Europe,47,1
17522,married,male,120000.0,4,Bachelors,Management,1,1,2-5 Miles,Pacific,47,0
21207,married,male,60000.0,1,Partial College,Skilled Manual,1,1,5-10 Miles,Pacific,46,0
28102,married,male,20000.0,4,High School,Skilled Manual,1,2,5-10 Miles,Pacific,58,1
